Restaurant Name,Full Address,City,Michelin Rating,Price Range Text,Cuisine Type,URL,Latitude,Longitude,Review,Award
Evelyn's Table,"The Blue Posts, 28 Rupert Street, Soho, London, W1D 6DJ, GBR",London,1 Star,Spare no expense,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/evelyn-s-table,51.5111527,-0.1326051,"{'@type': 'Review', 'datePublished': '2025-02-10T02:24', 'name': ""Evelyn's Table"", 'description': 'There¡¯s seating for just 12 people at this counter located in the former beer cellar of The Blue Posts pub. Claustrophobes may be hesitant but on offer is an intriguing and rewarding gastronomic ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Veeraswamy,"Victory House, 99 Regent Street, Mayfair, London, W1B 4RS, GBR",London,1 Star,Special occasion,Indian,https://guide.michelin.com/en/greater-london/london/restaurant/veeraswamy,51.5099619,-0.1378262,"{'@type': 'Review', 'datePublished': '2025-02-10T02:24', 'name': 'Veeraswamy', 'description': ""London's oldest Indian restaurant may have opened in 1926, but the kitchen continues to produce wonderfully authentic and satisfying dishes after all these years. You can expect to find cuisine ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Dysart Petersham,"135 Petersham Road, Richmond, London, TW10 7AA, GBR",London,1 Star,Spare no expense,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/dysart-petersham,51.4464604,-0.3001695,"{'@type': 'Review', 'datePublished': '2025-02-10T02:24', 'name': 'Dysart Petersham', 'description': ""A gorgeous Arts and Crafts building houses this warm, homely restaurant on the edge of Richmond Park. There's a natural ethos running throughout the highly seasonal cooking, which is best ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Chez Bruce,"2 Bellevue Road, Wandsworth, London, SW17 7EG, GBR",London,1 Star,Special occasion,French,https://guide.michelin.com/en/greater-london/london/restaurant/chez-bruce,51.4464026,-0.1653296,"{'@type': 'Review', 'datePublished': '2025-02-10T02:24', 'name': 'Chez Bruce', 'description': 'Restaurants offering a standard of cooking this high for over 20 years are few and far between, and the numerous regulars of this smart, friendly neighbourhood spot are a testament to its ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
The Harwood Arms,"Walham Grove, Fulham, London, SW6 1QP, GBR",London,1 Star,Special occasion,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/harwood-arms,51.4828975,-0.1964558,"{'@type': 'Review', 'datePublished': '2025-02-10T02:23', 'name': 'The Harwood Arms', 'description': 'The Harwood Arms is a pub at heart, so bar snacks are a must: munch on homemade crisps or a venison Scotch egg while you peruse the menu with a pint. The cooking at this pub may be highly ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
La Trompette,"3-7 Devonshire Road, Chiswick, London, W4 2EU, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/la-trompette,51.48946,-0.25431,"{'@type': 'Review', 'datePublished': '2025-02-10T02:23', 'name': 'La Trompette', 'description': 'The jewel in Chiswick¡¯s culinary crown remains as popular as ever, thanks to its local feel, relaxed atmosphere and, most importantly, its skilled and generous cooking. Largely British ingredients...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Luca,"88 St John Street, Clerkenwell, London, EC1M 4EH, GBR",London,1 Star,Spare no expense,Italian,https://guide.michelin.com/en/greater-london/london/restaurant/luca,51.5223158,-0.1018292,"{'@type': 'Review', 'datePublished': '2025-02-10T02:23', 'name': 'Luca', 'description': 'There are some restaurants that just feel right the moment you walk in; they have that special hum and energy that successful, confidently run operations boast. That¡¯s certainly true of Luca, ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Elystan Street,"43 Elystan Street, Chelsea, London, SW3 3NT, GBR",London,1 Star,Special occasion,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/elystan-street,51.4915449,-0.1675485,"{'@type': 'Review', 'datePublished': '2025-02-10T02:23', 'name': 'Elystan Street', 'description': 'Elystan Street is a neighbourhood restaurant, but as that neighbourhood is Chelsea, you can expect to find elegance and style in spades. It¡¯s a collaboration between Philip Howard and Rebecca ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Chishuru,"3 Great Titchfield Street, Fitzrovia, London, W1W 8AX, GBR",London,1 Star,Spare no expense,African,https://guide.michelin.com/en/greater-london/london/restaurant/chishuru,51.5167307,-0.1399754,"{'@type': 'Review', 'datePublished': '2025-02-10T02:23', 'name': 'Chishuru', 'description': 'Adejok? Bakare¡¯s West African restaurant continues to go from strength to strength in this warm, bright Fitzrovia spot which comes with a real neighbourhood feel. Her delicious, satisfying and ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Pavyllon London,"Four Seasons Hotel, Hamilton Place, Mayfair, London, W1J 7DR, GBR",London,1 Star,Spare no expense,French Contemporary,https://guide.michelin.com/en/greater-london/london/restaurant/pavyllon-london,51.5045981,-0.150181,"{'@type': 'Review', 'datePublished': '2025-02-10T02:22', 'name': 'Pavyllon London', 'description': ""Yannick All?no's place among the pantheon of great French chefs is assured, and the Four Seasons in Mayfair was the chosen venue for his first foray into the UK¡¯s dining scene. It¡¯s a smart, ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Sushi Kanesaka,"45 Park Lane, Mayfair, London, W1K 1PN, GBR",London,1 Star,Spare no expense,Japanese,https://guide.michelin.com/en/greater-london/london/restaurant/sushi-kanesaka-1210127,51.5064815,-0.1517726,"{'@type': 'Review', 'datePublished': '2025-02-10T02:22', 'name': 'Sushi Kanesaka', 'description': 'Authenticity abounds here at Chef Shinji Kanesaka¡¯s London outpost. You¡¯re greeted in the lobby of the 45 Park Lane hotel and escorted up to the hidden room on the first floor. The counter seats ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
64 Goodge Street,"64 Goodge Street, Fitzrovia, London, W1T 4NF, GBR",London,1 Star,Special occasion,French,https://guide.michelin.com/en/greater-london/london/restaurant/64-goodge-street,51.5190312,-0.1368487,"{'@type': 'Review', 'datePublished': '2025-02-10T02:22', 'name': '64 Goodge Street', 'description': 'Sister restaurant to Portland and Clipstone, this small bistro deluxe delivers intimate, relaxed surroundings in which to enjoy a menu based around classical French cooking. British Racing Green ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
St. Barts,"63 Bartholomew Close, City of London, London, EC1A 7BF, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/st-barts,51.5183271,-0.0992181,"{'@type': 'Review', 'datePublished': '2025-02-10T02:22', 'name': 'St. Barts', 'description': 'The Scandinavian-style d?cor, warm colour palette and picture windows overlooking church cloisters create a very handsome and comfortable environment, especially when you add in the gorgeous ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Taku,"36 Albemarle Street, Mayfair, London, W1S 4JE, GBR",London,1 Star,Spare no expense,Japanese,https://guide.michelin.com/en/greater-london/london/restaurant/taku-1205623,51.5089202,-0.1419157,"{'@type': 'Review', 'datePublished': '2025-02-10T02:22', 'name': 'Taku', 'description': 'The home of internationally renowned sushi chef Takuya Watanabe and right-hand man Long Ng, this 16-seater restaurant is centred around its striking counter fashioned from fine English oak. The ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Aulis,"16 St Anne's Court, Soho, London, W1F 0BF, GBR",London,1 Star,Spare no expense,Creative British,https://guide.michelin.com/en/greater-london/london/restaurant/aulis,51.5143368,-0.1343223,"{'@type': 'Review', 'datePublished': '2025-02-10T02:21', 'name': 'Aulis', 'description': ""Simon Rogan is certainly not one for standing still and here, in a narrow alley in Soho, his Aulis restaurant is almost unrecognisable from before. After expanding into next door, there's now room..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Cycene,"Blue Mountain School, 9 Chance Street, Shoreditch, London, E2 7JB, GBR",London,1 Star,Spare no expense,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/cycene,51.5244846,-0.0752056,"{'@type': 'Review', 'datePublished': '2025-02-10T02:21', 'name': 'Cycene', 'description': 'Ring the bell and you¡¯re welcomed into an operation unlike any other ? the name may be old English for ¡®kitchen¡¯, but this is very much a restaurant of the moment. You start with a drink and the ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
HIDE,"85 Piccadilly, Mayfair, London, W1J 7NB, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/hide,51.5061533,-0.1443531,"{'@type': 'Review', 'datePublished': '2025-02-10T02:18', 'name': 'HIDE', 'description': 'The trees of Green Park provide the inspiration for this relaxed restaurant¡¯s decorative theme: the light oak of the elegant top floor represents branches (up here by the window is the best place ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Amaya,"Halkin Arcade, 19 Motcomb Street, Belgravia, London, SW1X 8JT, GBR",London,1 Star,Spare no expense,Indian,https://guide.michelin.com/en/greater-london/london/restaurant/amaya,51.4993036,-0.1571945,"{'@type': 'Review', 'datePublished': '2025-02-10T02:18', 'name': 'Amaya', 'description': 'This long-standing Indian restaurant delivers a dining experience where the emphasis is on differently sized dishes designed for sharing ? delivered as and when they are prepared from the tawa, ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Jamavar,"8 Mount Street, Mayfair, London, W1K 3NF, GBR",London,1 Star,Spare no expense,Indian,https://guide.michelin.com/en/greater-london/london/restaurant/jamavar,51.5103041,-0.1484316,"{'@type': 'Review', 'datePublished': '2025-02-10T02:18', 'name': 'Jamavar', 'description': 'This smartly dressed restaurant is a firm favourite with those who love Indian food. The menu looks to all parts of India, with a slight bias towards the north, and also showcases dishes that ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
P?trus by Gordon Ramsay,"1 Kinnerton Street, Belgravia, London, SW1X 8EA, GBR",London,1 Star,Spare no expense,French,https://guide.michelin.com/en/greater-london/london/restaurant/petrus284688,51.4995628,-0.1567357,"{'@type': 'Review', 'datePublished': '2025-02-10T02:18', 'name': 'P?trus by Gordon Ramsay', 'description': 'Named after the famous Pomerol estate in Bordeaux, wine plays an understandably pivotal role at this impeccably run restaurant that caters to both well-to-do locals and those looking for a special...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
